	words	D.Copperfield	Q.Universe	U.Physics	A.Brain	Youth	Total
0	said	2948.0	9.0	9.0	17.0	9.0	2992.0
3	one	884.0	99.0	128.0	112.0	142.0	1365.0
2	would	984.0	102.0	74.0	49.0	117.0	1326.0
3088	brain	6.0	67.0	18.0	1148.0	34.0	1273.0
4	could	856.0	87.0	81.0	127.0	110.0	1261.0
1	little	1063.0	15.0	14.0	12.0	14.0	1118.0
6	know	779.0	36.0	23.0	54.0	29.0	921.0
11	time	643.0	85.0	47.0	64.0	78.0	917.0
12	much	643.0	50.0	34.0	67.0	50.0	844.0
16	like	603.0	59.0	62.0	48.0	67.0	839.0
19	see	550.0	45.0	44.0	96.0	32.0	767.0
14	made	623.0	21.0	27.0	30.0	45.0	746.0
56	may	350.0	60.0	132.0	127.0	61.0	730.0
157	new	143.0	84.0	112.0	278.0	96.0	713.0
17	say	601.0	18.0	19.0	42.0	18.0	698.0
15	old	620.0	18.0	8.0	29.0	11.0	686.0
13	never	631.0	8.0	18.0	11.0	10.0	678.0
18	think	581.0	24.0	19.0	21.0	25.0	670.0
22	come	528.0	26.0	26.0	16.0	21.0	617.0
37	way	413.0	39.0	45.0	62.0	37.0	596.0
35	might	427.0	40.0	32.0	50.0	45.0	594.0
23	good	496.0	22.0	17.0	33.0	21.0	589.0
20	went	549.0	8.0	3.0	2.0	9.0	571.0
25	head	484.0	23.0	5.0	21.0	15.0	548.0
41	well	393.0	24.0	33.0	51.0	38.0	539.0
29	thought	451.0	16.0	11.0	31.0	16.0	525.0
66	two	312.0	51.0	66.0	41.0	50.0	520.0
24	hand	489.0	11.0	7.0	9.0	4.0	520.0
28	ever	456.0	12.0	18.0	16.0	15.0	517.0
95	even	230.0	44.0	60.0	112.0	68.0	514.0
47	long	371.0	33.0	33.0	47.0	28.0	512.0
39	back	397.0	31.0	26.0	16.0	40.0	510.0
85	many	248.0	42.0	54.0	92.0	62.0	498.0
27	came	461.0	4.0	13.0	3.0	17.0	498.0
33	away	437.0	17.0	11.0	7.0	22.0	494.0
69	make	304.0	45.0	37.0	51.0	40.0	477.0
31	face	442.0	6.0	3.0	18.0	5.0	474.0
68	life	305.0	20.0	16.0	38.0	81.0	460.0
61	mind	324.0	14.0	5.0	98.0	14.0	455.0
49	day	367.0	32.0	14.0	22.0	18.0	453.0
64	take	317.0	35.0	24.0	36.0	37.0	449.0
71	another	301.0	26.0	45.0	34.0	35.0	441.0
74	still	279.0	29.0	45.0	43.0	43.0	439.0
78	found	266.0	38.0	36.0	47.0	50.0	437.0
50	looking	362.0	8.0	5.0	38.0	21.0	434.0
43	great	386.0	12.0	17.0	8.0	9.0	432.0
48	man	371.0	9.0	12.0	22.0	10.0	424.0
389	also	63.0	64.0	63.0	137.0	95.0	422.0
53	going	355.0	23.0	8.0	9.0	23.0	418.0
40	quite	394.0	2.0	6.0	11.0	3.0	416.0
38	saw	404.0	2.0	2.0	3.0	4.0	415.0
142	people	152.0	57.0	56.0	93.0	57.0	415.0
54	must	355.0	20.0	11.0	9.0	13.0	408.0
62	look	320.0	22.0	16.0	11.0	32.0	401.0
44	house	381.0	7.0	2.0	1.0	3.0	394.0
59	always	338.0	14.0	11.0	13.0	15.0	391.0
45	looked	377.0	4.0	2.0	5.0	1.0	389.0
183	years	131.0	63.0	55.0	52.0	85.0	386.0
70	without	302.0	11.0	14.0	35.0	17.0	379.0
52	night	356.0	5.0	5.0	5.0	5.0	376.0
57	took	341.0	15.0	5.0	7.0	7.0	375.0
55	eyes	350.0	7.0	3.0	6.0	7.0	373.0
51	returned	362.0	2.0	1.0	1.0	3.0	369.0
63	put	320.0	8.0	14.0	13.0	10.0	365.0
88	better	245.0	15.0	26.0	53.0	26.0	365.0
65	home	314.0	14.0	2.0	7.0	13.0	350.0
72	nothing	298.0	11.0	11.0	6.0	14.0	340.0
10136	university	1.0	83.0	76.0	67.0	111.0	338.0
67	room	306.0	12.0	10.0	4.0	6.0	338.0
135	world	157.0	59.0	31.0	45.0	40.0	332.0
73	got	293.0	11.0	8.0	8.0	10.0	330.0
106	yet	202.0	33.0	25.0	30.0	34.0	324.0
99	every	214.0	22.0	30.0	34.0	24.0	324.0
8279	cells	2.0	30.0	13.0	190.0	84.0	319.0
79	last	263.0	20.0	18.0	7.0	8.0	316.0
242	says	103.0	83.0	31.0	28.0	68.0	313.0
170	light	136.0	48.0	39.0	14.0	75.0	312.0
83	though	251.0	10.0	11.0	9.0	21.0	302.0
76	young	273.0	5.0	4.0	11.0	5.0	298.0
93	place	235.0	14.0	11.0	14.0	23.0	297.0
81	love	257.0	8.0	5.0	19.0	4.0	293.0
140	used	154.0	34.0	24.0	52.0	25.0	289.0
94	something	230.0	10.0	12.0	22.0	15.0	289.0
5642	science	3.0	100.0	70.0	55.0	61.0	289.0
197	called	123.0	28.0	36.0	62.0	39.0	288.0
725	memory	35.0	14.0	37.0	173.0	27.0	286.0
82	done	254.0	6.0	11.0	11.0	4.0	286.0
171	work	136.0	28.0	27.0	62.0	30.0	283.0
149	get	147.0	41.0	26.0	17.0	50.0	281.0
90	heart	241.0	1.0	20.0	10.0	6.0	278.0
86	knew	247.0	8.0	5.0	2.0	10.0	272.0
221	help	111.0	22.0	28.0	60.0	47.0	268.0
89	anything	245.0	2.0	8.0	8.0	5.0	268.0
91	seemed	240.0	4.0	7.0	5.0	8.0	264.0
102	seen	211.0	6.0	21.0	7.0	18.0	263.0
87	told	247.0	5.0	1.0	3.0	4.0	260.0
100	tell	213.0	11.0	7.0	17.0	12.0	260.0
120	right	176.0	11.0	19.0	29.0	21.0	256.0
6021	disease	3.0	45.0	17.0	161.0	15.0	241.0
126	since	169.0	8.0	12.0	19.0	31.0	239.0
150	part	147.0	25.0	15.0	29.0	23.0	239.0
144	enough	151.0	14.0	24.0	15.0	35.0	239.0
312	black	78.0	23.0	6.0	9.0	122.0	238.0
105	believe	207.0	12.0	6.0	5.0	8.0	238.0
103	sure	211.0	7.0	5.0	7.0	6.0	236.0
177	far	132.0	22.0	18.0	25.0	37.0	234.0
96	doctor	224.0	1.0	1.0	4.0	2.0	232.0
160	next	142.0	11.0	21.0	40.0	16.0	230.0
124	give	171.0	8.0	18.0	17.0	16.0	230.0
